Name,Category,Width,Height,Notes,Prompt
Car,sprite,128,64,Main vehicle sprite without passengers,"Green station wagon car sprite side view, empty interior, luggage rack on roof, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, transparent background, game asset, isolated vehicle"
Dad,sprite,32,64,Character portrait/sprite,"Adult man character sprite, casual 1980s clothing, brown hair, friendly expression, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game character portrait"
Mom,sprite,32,64,Character portrait/sprite,"Adult woman character sprite, casual 1980s clothing, shoulder-length hair, friendly expression, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game character portrait"
Boy,sprite,32,48,Character portrait/sprite,"Young boy character sprite, casual 1980s kid clothing, short hair, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game character portrait"
Girl,sprite,32,48,Character portrait/sprite,"Young girl character sprite, casual 1980s kid clothing, ponytail, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game character portrait"
Dog,sprite,32,32,Character portrait/sprite,"Golden retriever dog sprite, happy expression, sitting pose, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game pet character"
Houston,background,1024,576,City skyline scene,"Houston Texas city skyline with downtown skyscrapers, highway in foreground, oil refineries in distance, clear blue sky with clouds, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, dithering effects, wide landscape scene"
Buc-ee's,background,1024,576,Famous Texas gas station/store,"Buc-ee's giant gas station and convenience store, beaver mascot sign, many fuel pumps, parking lot with cars, Texas highway, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide scene"
Texarkana,background,1024,576,Border town scene,"Texarkana border town scene, state line marker visible, small town main street, Texas and Arkansas flags, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide landscape"
Little Rock,background,1024,576,Arkansas capital city,"Little Rock Arkansas city skyline, Arkansas River, downtown buildings, state capitol dome visible, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide landscape scene"
Memphis,background,1024,576,Tennessee city with music theme,"Memphis Tennessee cityscape, Beale Street neon signs, music notes, Mississippi River, blues and rock n roll theme, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide scene"
Mount Vernon,background,1024,576,Illinois town scene,"Small town Mount Vernon Illinois, historic courthouse square, American small town main street, midwestern charm, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide landscape"
Chicago,background,1024,576,Skyline with buildings,"Chicago Illinois city skyline, Willis Tower, Lake Michigan, downtown skyscrapers, urban landscape, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide scene"
Detroit,background,1024,576,Michigan city destination,"Detroit Michigan city skyline, Renaissance Center, automotive industry theme, urban landscape, destination city, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, wide scene"
Popped Tire,popup,256,256,Event illustration,"Close-up of flat tire on green station wagon, family looking worried in background, roadside scene, dust and gravel, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, dramatic event illustration"
Road split,background,1024,576,Fork in the road decision scene,"Fork in the road, two paths diverging, road signs pointing different directions, American highway landscape, decision point, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels"
Wilderness 1,background,1024,576,Rural/nature driving scene,"Green station wagon driving on rural highway through forest, pine trees, rolling hills, sunny day, dust trail behind car, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, side-scrolling perspective"
Wilderness 2,background,1024,576,Rural/nature driving scene variant,"Green station wagon driving through plains, wheat fields, farmland, big sky with clouds, American heartland, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, side-scrolling perspective"
Wilderness 3,background,1024,576,Rural/nature driving scene variant,"Green station wagon driving through hilly terrain, autumn trees, winding road, scenic overlook, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels, side-scrolling perspective"
